,Brand,Model ,Generation  ,Modification (Engine) ,Start of production ,Powertrain Architecture ,Body type,Seats ,Doors ,Combined fuel consumption (WLTP) ,CO2 emissions (WLTP),Fuel Type ,Acceleration 0 - 100 km/h,Acceleration 0 - 62 mph,Acceleration 0 - 60 mph (Calculated by Auto-Data.net) ,Maximum speed ,Emission standard ,Weight-to-power ratio ,Weight-to-torque ratio ,Battery voltage ,Battery location ,Electric motor power ,Power ,Power per litre ,Torque ,Engine layout ,Engine Model/Code ,Engine displacement ,Number of cylinders ,Engine configuration ,Cylinder Bore ,Piston Stroke ,Compression ratio ,Number of valves per cylinder ,Fuel injection system ,Engine aspiration ,Valvetrain  ,Engine oil capacity ,Engine oil specification ,Engine systems,Kerb Weight ,Max. weight ,Max load,Trunk (boot) space - minimum ,Fuel tank capacity ,Max. roof load ,Permitted trailer load with brakes (12%) ,Permitted trailer load without brakes ,Permitted towbar download ,Length ,Width ,Height ,Wheelbase ,Front track ,Rear (Back) track ,Ride height (ground clearance) ,Drag coefficient (Cd) ,Minimum turning circle (turning diameter) ,Drivetrain Architecture ,Drive wheel ,Number of gears and type of gearbox ,Front suspension ,Rear suspension ,Front brakes,Rear brakes,Assisting systems,Steering type ,Power steering ,Tires size,Wheel rims size,Battery technology ,Electric motor location ,All-electric range (WLTP),Average Energy consumption (WLTP) ,Electric motor Torque ,Gross battery capacity ,Max speed (electric) ,Recuperation output ,System power ,System torque ,Trunk (boot) space - maximum ,Fuel consumption (economy) - combined,CO2 emissions,Coolant ,End of production ,Fuel consumption (economy) - extra urban,Fuel consumption (economy) - urban ,"CO2 emissions (NEDC, WLTP equivalent)","Fuel consumption (economy) - combined (NEDC, WLTP equivalent)","Fuel consumption (economy) - extra urban (NEDC, WLTP equivalent)","Fuel consumption (economy) - urban (NEDC, WLTP equivalent) ",Front overhang ,Rear overhang ,Width including mirrors ,"Average Energy consumption (NEDC, WLTP equivalent) ",Permitted trailer load with brakes (8%) ,CO2 emissions (NEDC),Fuel consumption (economy) - combined (NEDC),Fuel consumption (economy) - extra urban (NEDC),Fuel consumption (economy) - urban (NEDC) ,"All-electric range (NEDC, WLTP equivalent)",All-electric range (NEDC),Average Energy consumption (NEDC) ,Acceleration 0 - 60 mph ,Width with mirrors folded ,Maximum engine speed 
0,BMW,3 Series,"3 Series Sedan (G20 LCI, facelift 2022)",M340i (374 Hp) Mild Hybrid xDrive Steptronic ,"July, 2022 year ","MHEV (Mild Hybrid Electric Vehicle, power-assist hybrid, battery-assisted hybrid vehicles, BAHV) ",Sedan ,5 ,4 ,"7.8-8.5 l/100 km
							30.16 - 27.67 US mpg36.22 - 33.23 UK mpg12.82 - 11.76 km/l",177-192 g/km ,Petrol (Gasoline) ,4.4 sec ,4.4 sec ,4.2 sec ,"250 km/h
						155.34 mph",Euro 6d ,"4.6 kg/Hp, 216.8 Hp/tonne ","3.5 kg/Nm, 289.9 Nm/tonne ",48 V ,Inside the trunk ,11 Hp ,374 Hp @ 5500-6500 rpm. ,124.7 Hp/l ,"500 Nm @ 1900-5000 rpm.
						368.78 lb.-ft. @ 1900-5000 rpm.","Front, Longitudinal ",B58B30B ,"2998 cm3
182.95 cu. in.",6 ,Inline ,"82 mm
					3.23 in.","94.6 mm
					3.72 in.",10.2 ,4 ,Direct injection ,"Twin-power turbo, Intercooler ",VALVETRONIC ,"7.2 l
					7.61 US qt | 6.34 UK qt",Log in to see.,Particulate filter,"1725 kg
					3802.97 lbs.","2260 kg
					4982.45 lbs.","535 kg
					1179.47 lbs.","480 l
					16.95 cu. ft.","59 l
						15.59 US gal | 12.98 UK gal","75 kg
					165.35 lbs.","1800 kg
					3968.32 lbs.","750 kg
					1653.47 lbs.","75 kg
					165.35 lbs.","4714 mm
					185.59 in.","1827 mm
					71.93 in.","1440 mm
					56.69 in.","2851 mm
					112.24 in.","1583 mm
					62.32 in.","1567 mm
					61.69 in.","130 mm
					5.12 in.",0.27 ,"12 m
					39.37 ft.",The Internal combustion engine (ICE) drives permanently the four wheels of the vehicle. ,Rear wheel drive ,"8 gears, automatic transmission Steptronic ","Independent, type McPherson with coil spring and anti-roll bar ",Independent multi-link spring suspension with stabilizer ,Ventilated discs ,Ventilated discs ,ABS (Anti-lock braking system) ,Steering rack and pinion ,Electric Steering ,Front wheel tires: 225/45 R18Rear wheel tires: 255/40 R18 ,Front wheel rims: 7.5J x 18Rear wheel rims: 8.5J x 18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BMW,3 Series,"3 Series Sedan (G20 LCI, facelift 2022)",M340d (340 Hp) Mild Hybrid xDrive Steptronic ,"July, 2022 year ","MHEV (Mild Hybrid Electric Vehicle, power-assist hybrid, battery-assisted hybrid vehicles, BAHV) ",Sedan ,5 ,4 ,"5.9-6.4 l/100 km
							39.87 - 36.75 US mpg47.88 - 44.14 UK mpg16.95 - 15.63 km/l",154-168 g/km ,Diesel ,4.6 sec ,4.6 sec ,4.4 sec ,"250 km/h
						155.34 mph",Euro 6d ,"5.3 kg/Hp, 188.9 Hp/tonne ","2.6 kg/Nm, 388.9 Nm/tonne ",48 V ,Inside the trunk ,11 Hp ,340 Hp @ 4400 rpm. ,113.6 Hp/l ,"700 Nm @ 1750-2250 rpm.
						516.29 lb.-ft. @ 1750-2250 rpm.","Front, Longitudinal ",B57D30B ,"2993 cm3
182.64 cu. in.",6 ,Inline ,"84 mm
					3.31 in.","90 mm
					3.54 in.",16.5 ,4 ,Diesel Commonrail ,"Twin-power turbo, Intercooler ",DOHC ,"7 l
					7.4 US qt | 6.16 UK qt",Log in to see.,Particulate filter,"1800 kg
					3968.32 lbs.","2340 kg
					5158.82 lbs.","540 kg
					1190.5 lbs.","480 l
					16.95 cu. ft.","59 l
						15.59 US gal | 12.98 UK gal","75 kg
					165.35 lbs.","1800 kg
					3968.32 lbs.","750 kg
					1653.47 lbs.","75 kg
					165.35 lbs.","4713 mm
					185.55 in.","1827 mm
					71.93 in.","1445 mm
					56.89 in.","2851 mm
					112.24 in.","1583 mm
					62.32 in.","1567 mm
					61.69 in.","135 mm
					5.31 in.",0.27 ,"12 m
					39.37 ft.",The Internal combustion engine (ICE) and the electric motor permanently drive the four wheels of the car with the ability to work only in mixed mode. ,All wheel drive (4x4) ,"8 gears, automatic transmission Steptronic ","Independent, type McPherson with coil spring and anti-roll bar ",Independent multi-link spring suspension with stabilizer ,Ventilated discs ,Ventilated discs ,ABS (Anti-lock braking system) ,Steering rack and pinion ,Electric Steering ,Front wheel tires: 225/45 R18Rear wheel tires: 255/40 R18 ,Front wheel rims: 7.5J x 18Rear wheel rims: 8.5J x 18 ,Lithium-ion (Li-Ion) ,Integrated into the transmission ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,BMW,3 Series,"3 Series Sedan (G20 LCI, facelift 2022)",330i (245 Hp) xDrive Steptronic ,"July, 2022 year ",Internal Combustion engine ,Sedan ,5 ,4 ,"7-7.8 l/100 km
							33.6 - 30.16 US mpg40.35 - 36.22 UK mpg14.29 - 12.82 km/l",158-176 g/km ,Petrol (Gasoline) ,5.7 sec ,5.7 sec ,5.4 sec ,"250 km/h
						155.34 mph",Euro 6d ,"6.5 kg/Hp, 153.6 Hp/tonne ","4 kg/Nm, 250.8 Nm/tonne ",,,,245 Hp @ 4500-6500 rpm. ,122.6 Hp/l ,"400 Nm @ 1600-4000 rpm.
						295.02 lb.-ft. @ 1600-4000 rpm.","Front, Longitudinal ",B48B20B ,"1998 cm3
121.93 cu. in.",4 ,Inline ,"82 mm
					3.23 in.","94.6 mm
					3.72 in.",10.2 ,4 ,Direct injection ,"Twin-power turbo, Intercooler ",VALVETRONIC ,"5.25 l
					5.55 US qt | 4.62 UK qt",Log in to see.,Particulate filter,"1595 kg
					3516.37 lbs.","2150 kg
					4739.94 lbs.","555 kg
					1223.57 lbs.","480 l
					16.95 cu. ft.","59 l
						15.59 US gal | 12.98 UK gal","75 kg
					165.35 lbs.","1800 kg
					3968.32 lbs.","750 kg
					1653.47 lbs.","75 kg
					165.35 lbs.","4713 mm
					185.55 in.","1827 mm
					71.93 in.","1445 mm
					56.89 in.","2851 mm
					112.24 in.","1573 mm
					61.93 in.","1567 mm
					61.69 in.","135 mm
					5.31 in.",0.26 ,"12 m
					39.37 ft.",The Internal combustion engine (ICE) drives permanently the four wheels of the vehicle. ,All wheel drive (4x4) ,"8 gears, automatic transmission Steptronic ","Independent, type McPherson with coil spring and anti-roll bar ",Independent multi-link spring suspension with stabilizer ,Ventilated discs ,Ventilated discs ,ABS (Anti-lock braking system) ,Steering rack and pinion ,Electric Steering ,225/50 R17 ,7.5J x 17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BMW,3 Series,"3 Series Sedan (G20 LCI, facelift 2022)",330i (245 Hp) Steptronic ,"July, 2022 year ",Internal Combustion engine ,Sedan ,5 ,4 ,"6.6-7.3 l/100 km
							35.64 - 32.22 US mpg42.8 - 38.7 UK mpg15.15 - 13.7 km/l",148-166 g/km ,Petrol (Gasoline) ,5.9 sec ,5.9 sec ,5.6 sec ,"250 km/h
						155.34 mph",Euro 6d ,"6.2 kg/Hp, 160.7 Hp/tonne ","3.8 kg/Nm, 262.3 Nm/tonne ",,,,245 Hp @ 4500-6500 rpm. ,122.6 Hp/l ,"400 Nm @ 1600-4000 rpm.
						295.02 lb.-ft. @ 1600-4000 rpm.","Front, Longitudinal ",B48B20B ,"1998 cm3
121.93 cu. in.",4 ,Inline ,"82 mm
					3.23 in.","94.6 mm
					3.72 in.",10.2 ,4 ,Direct injection ,"Twin-power turbo, Intercooler ",VALVETRONIC ,"5.25 l
					5.55 US qt | 4.62 UK qt",Log in to see.,Particulate filter,"1525 kg
					3362.05 lbs.","2080 kg
					4585.62 lbs.","555 kg
					1223.57 lbs.","480 l
					16.95 cu. ft.","59 l
						15.59 US gal | 12.98 UK gal","75 kg
					165.35 lbs.","1600 kg
					3527.4 lbs.","750 kg
					1653.47 lbs.","75 kg
					165.35 lbs.","4713 mm
					185.55 in.","1827 mm
					71.93 in.","1440 mm
					56.69 in.","2851 mm
					112.24 in.","1573 mm
					61.93 in.","1568 mm
					61.73 in.","141 mm
					5.55 in.",0.25 ,"11.4 m
					37.4 ft.",The Internal combustion engine (ICE) drives the rear wheels of the vehicle. ,Rear wheel drive ,"8 gears, automatic transmission Steptronic ","Independent, type McPherson with coil spring and anti-roll bar ",Independent multi-link spring suspension with stabilizer ,Ventilated discs ,Ventilated discs ,ABS (Anti-lock braking system) ,Steering rack and pinion ,Electric Steering ,225/50 R17 ,7.5J x 17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BMW,3 Series,"3 Series Sedan (G20 LCI, facelift 2022)",330e (292 Hp) xDrive Steptronic ,"July, 2022 year ",PHEV (Plug-in Hybrid Electric Vehicle) ,Sedan ,5 ,4 ,"1.5-2 l/100 km
							156.81 - 117.61 US mpg188.32 - 141.24 UK mpg66.67 - 50 km/l",33-45 g/km ,petrol / electricity ,5.8 sec ,5.8 sec ,5.5 sec ,"230 km/h
						142.92 mph",Euro 6d ,"6.3 kg/Hp, 160 Hp/tonne ","4.3 kg/Nm, 230.1 Nm/tonne ",354 V ,Under the rear seats ,109 Hp @ 3140 rpm. ,184 Hp @ 5000-6500 rpm. ,92.1 Hp/l ,"300 Nm @ 1350-4000 rpm.
						221.27 lb.-ft. @ 1350-4000 rpm.","Front, Longitudinal ",B48B20B ,"1998 cm3
121.93 cu. in.",4 ,Inline ,"82 mm
					3.23 in.","94.6 mm
					3.72 in.",11 ,4 ,Direct injection ,"Twin-power turbo, Intercooler ",DOHC ,"5.25 l
					5.55 US qt | 4.62 UK qt",Log in to see.,Particulate filter,"1825 kg
					4023.44 lbs.","2345 kg
					5169.84 lbs.","520 kg
					1146.4 lbs.","375 l
					13.24 cu. ft.","40 l
						10.57 US gal | 8.8 UK gal","75 kg
					165.35 lbs.","1500 kg
					3306.93 lbs.","750 kg
					1653.47 lbs.","75 kg
					165.35 lbs.","4713 mm
					185.55 in.","1827 mm
					71.93 in.","1444 mm
					56.85 in.","2851 mm
					112.24 in.","1573 mm
					61.93 in.","1567 mm
					61.69 in.","147 mm
					5.79 in.",0.25 ,"12 m
					39.37 ft.",The Internal combustion engine (ICE) and the electric motor permanently drive the four wheels of the car with the ability to work in full electric or mixed mode. ,All wheel drive (4x4) ,"8 gears, automatic transmission Steptronic ","Independent, type McPherson with coil spring and anti-roll bar ",Independent multi-link spring suspension with stabilizer ,Ventilated discs ,Ventilated discs ,ABS (Anti-lock braking system) ,Steering rack and pinion ,Electric Steering ,225/50 R17 ,7.5J x 17 ,Lithium-ion (Li-Ion) ,Between the combustion engine and the transmission ,"52-60 km
					32.31 - 37.28 mi ","16.6-18.7 kWh/100 km
				    
				26.72 - 30.09 kWh/100 mi126 - 112 MPGe6 - 5.3 km/kWh3.7 - 3.3 mi/kWh","265 Nm @ 100-2500 rpm.
						
				195.45 lb.-ft. @ 100-2500 rpm.",12 kWh ,"140 km/h
				    
				86.99 mph",20 kW ,292 Hp ,"420 Nm
				309.78 lb.-ft.",,,,,,,,,,,,,,,,,,,,,,,,,,
5,BMW,3 Series,"3 Series Sedan (G20 LCI, facelift 2022)",330e (292 Hp) Steptronic ,"July, 2022 year ",PHEV (Plug-in Hybrid Electric Vehicle) ,Sedan ,5 ,4 ,"1.3-1.8 l/100 km
							180.93 - 130.67 US mpg217.29 - 156.93 UK mpg76.92 - 55.56 km/l",30-40 g/km ,petrol / electricity ,5.8 sec ,5.8 sec ,5.5 sec ,"230 km/h
						142.92 mph",Euro 6d ,"6.1 kg/Hp, 165 Hp/tonne ","4.2 kg/Nm, 237.3 Nm/tonne ",354 V ,Under the rear seats ,109 Hp @ 3140 rpm. ,184 Hp @ 5000-6500 rpm. ,92.1 Hp/l ,"300 Nm @ 1350-4000 rpm.
						221.27 lb.-ft. @ 1350-4000 rpm.","Front, Longitudinal ",B48B20B ,"1998 cm3
121.93 cu. in.",4 ,Inline ,"82 mm
					3.23 in.","94.6 mm
					3.72 in.",11 ,4 ,Direct injection ,"Twin-power turbo, Intercooler ",DOHC ,"5.25 l
					5.55 US qt | 4.62 UK qt",Log in to see.,Particulate filter,"1770 kg
					3902.18 lbs.","2290 kg
					5048.59 lbs.","520 kg
					1146.4 lbs.","375 l
					13.24 cu. ft.","40 l
						10.57 US gal | 8.8 UK gal","75 kg
					165.35 lbs.","1500 kg
					3306.93 lbs.","750 kg
					1653.47 lbs.","75 kg
					165.35 lbs.","4713 mm
					185.55 in.","1827 mm
					71.93 in.","1444 mm
					56.85 in.","2851 mm
					112.24 in.","1573 mm
					61.93 in.","1568 mm
					61.73 in.","147 mm
					5.79 in.",0.25 ,"11.4 m
					37.4 ft.",The Internal combustion engine (ICE) and electric motor drive the rear wheels of the car with the ability to work in full electric or mixed mode. ,Rear wheel drive ,"8 gears, automatic transmission Steptronic ","Independent, type McPherson with coil spring and anti-roll bar ",Independent multi-link spring suspension with stabilizer ,Ventilated discs ,Ventilated discs ,ABS (Anti-lock braking system) ,Steering rack and pinion ,Electric Steering ,225/50 R17 ,7.5J x 17 ,Lithium-ion (Li-Ion) ,Between the combustion engine and the transmission ,"54-62 km
					33.55 - 38.53 mi ","16-17.9 kWh/100 km
				    
				25.75 - 28.81 kWh/100 mi131 - 117 MPGe6.3 - 5.6 km/kWh3.9 - 3.5 mi/kWh","265 Nm @ 100-2500 rpm.
						
				195.45 lb.-ft. @ 100-2500 rpm.",12 kWh ,"140 km/h
				    
				86.99 mph",20 kW ,292 Hp ,"420 Nm
				309.78 lb.-ft.",,,,,,,,,,,,,,,,,,,,,,,,,,
6,BMW,3 Series,"3 Series Sedan (G20 LCI, facelift 2022)",330d (286 Hp) Mild Hybrid xDrive Steptronic ,"July, 2022 year ","MHEV (Mild Hybrid Electric Vehicle, power-assist hybrid, battery-assisted hybrid vehicles, BAHV) ",Sedan ,5 ,4 ,"5.4-6 l/100 km
							43.56 - 39.2 US mpg52.31 - 47.08 UK mpg18.52 - 16.67 km/l",141-158 g/km ,Diesel ,5 sec ,5 sec ,4.8 sec ,"250 km/h
						155.34 mph",Euro 6d ,"6.2 kg/Hp, 162.5 Hp/tonne ","2.7 kg/Nm, 369.3 Nm/tonne ",48 V ,Inside the trunk ,11 Hp ,286 Hp @ 4000 rpm. ,95.6 Hp/l ,"650 Nm @ 1500-2500 rpm.
						479.42 lb.-ft. @ 1500-2500 rpm.","Front, Longitudinal ",B57D30B ,"2993 cm3
182.64 cu. in.",6 ,Inline ,"84 mm
					3.31 in.","90 mm
					3.54 in.",16.5 ,4 ,Diesel Commonrail ,"Twin-power turbo, Intercooler ",DOHC ,"7 l
					7.4 US qt | 6.16 UK qt",Log in to see.,Particulate filter,"1760 kg
					3880.14 lbs.","2315 kg
					5103.7 lbs.","555 kg
					1223.57 lbs.","480 l
					16.95 cu. ft.","59 l
						15.59 US gal | 12.98 UK gal","75 kg
					165.35 lbs.","1800 kg
					3968.32 lbs.","750 kg
					1653.47 lbs.","75 kg
					165.35 lbs.","4713 mm
					185.55 in.","1827 mm
					71.93 in.","1440 mm
					56.69 in.","2851 mm
					112.24 in.","1573 mm
					61.93 in.","1567 mm
					61.69 in.","130 mm
					5.12 in.",0.25 ,"12 m
					39.37 ft.",The Internal combustion engine (ICE) and the electric motor permanently drive the four wheels of the car with the ability to work only in mixed mode. ,All wheel drive (4x4) ,"8 gears, automatic transmission Steptronic ","Independent, type McPherson with coil spring and anti-roll bar ",Independent multi-link spring suspension with stabilizer ,Ventilated discs ,Ventilated discs ,ABS (Anti-lock braking system) ,Steering rack and pinion ,Electric Steering ,225/50 R17 ,7.5J x 17 ,Lithium-ion (Li-Ion) ,Integrated into the transmission ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,BMW,3 Series,"3 Series Sedan (G20 LCI, facelift 2022)",330d (286 Hp) Mild Hybrid Steptronic ,"July, 2022 year ","MHEV (Mild Hybrid Electric Vehicle, power-assist hybrid, battery-assisted hybrid vehicles, BAHV) ",Sedan ,5 ,4 ,"5.1-5.8 l/100 km
							46.12 - 40.55 US mpg55.39 - 48.7 UK mpg19.61 - 17.24 km/l",135-152 g/km ,Diesel ,5.3 sec ,5.3 sec ,5 sec ,"250 km/h
						155.34 mph",Euro 6d ,"6 kg/Hp, 167.3 Hp/tonne ","2.6 kg/Nm, 380.1 Nm/tonne ",48 V ,Inside the trunk ,11 Hp ,286 Hp @ 4000 rpm. ,95.6 Hp/l ,"650 Nm @ 1500-2500 rpm.
						479.42 lb.-ft. @ 1500-2500 rpm.","Front, Longitudinal ",B57D30B ,"2993 cm3
182.64 cu. in.",6 ,Inline ,"84 mm
					3.31 in.","90 mm
					3.54 in.",16.5 ,4 ,Diesel Commonrail ,"Twin-power turbo, Intercooler ",DOHC ,"7 l
					7.4 US qt | 6.16 UK qt",Log in to see.,Particulate filter,"1710 kg
					3769.9 lbs.","2265 kg
					4993.47 lbs.","555 kg
					1223.57 lbs.","480 l
					16.95 cu. ft.","59 l
						15.59 US gal | 12.98 UK gal","75 kg
					165.35 lbs.","1800 kg
					3968.32 lbs.","750 kg
					1653.47 lbs.","75 kg
					165.35 lbs.","4713 mm
					185.55 in.","1827 mm
					71.93 in.","1440 mm
					56.69 in.","2851 mm
					112.24 in.","1573 mm
					61.93 in.","1568 mm
					61.73 in.","141 mm
					5.55 in.",0.25 ,"11.4 m
					37.4 ft.",The Internal combustion engine (ICE) and electric motor drive the rear wheels of the car with the ability to work only in mixed mode. ,Rear wheel drive ,"8 gears, automatic transmission Steptronic ","Independent, type McPherson with coil spring and anti-roll bar ",Independent multi-link spring suspension with stabilizer ,Ventilated discs ,Ventilated discs ,ABS (Anti-lock braking system) ,Steering rack and pinion ,Electric Steering ,225/50 R17 ,7.5J x 17 ,Lithium-ion (Li-Ion) ,Integrated into the transmission ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,BMW,3 Series,"3 Series Sedan (G20 LCI, facelift 2022)",320i (184 Hp) xDrive Steptronic ,"July, 2022 year ",Internal Combustion engine ,Sedan ,5 ,4 ,"6.8-7.6 l/100 km
							34.59 - 30.95 US mpg41.54 - 37.17 UK mpg14.71 - 13.16 km/l",153-171 g/km ,Petrol (Gasoline) ,7.7 sec ,7.7 sec ,7.3 sec ,"230 km/h
						142.92 mph",Euro 6d ,"8.6 kg/Hp, 116.5 Hp/tonne ","5.3 kg/Nm, 189.9 Nm/tonne ",,,,184 Hp @ 5000-6400 rpm. ,92.1 Hp/l ,"300 Nm @ 1350-4000 rpm.
						221.27 lb.-ft. @ 1350-4000 rpm.","Front, Longitudinal ",B48B20B ,"1998 cm3
121.93 cu. in.",4 ,Inline ,"82 mm
					3.23 in.","94.6 mm
					3.72 in.",11 ,4 ,Direct injection ,"Twin-power turbo, Intercooler ",VALVETRONIC ,"5.25 l
					5.55 US qt | 4.62 UK qt",Log in to see.,Particulate filter,"1580 kg
					3483.3 lbs.","2135 kg
					4706.87 lbs.","555 kg
					1223.57 lbs.","480 l
					16.95 cu. ft.","59 l
						15.59 US gal | 12.98 UK gal","75 kg
					165.35 lbs.","1800 kg
					3968.32 lbs.","750 kg
					1653.47 lbs.","75 kg
					165.35 lbs.","4713 mm
					185.55 in.","1827 mm
					71.93 in.","1445 mm
					56.89 in.","2851 mm
					112.24 in.","1573 mm
					61.93 in.","1567 mm
					61.69 in.","135 mm
					5.31 in.",0.25 ,"12 m
					39.37 ft.",The Internal combustion engine (ICE) drives permanently the four wheels of the vehicle. ,All wheel drive (4x4) ,"8 gears, automatic transmission Steptronic ","Independent, type McPherson with coil spring and anti-roll bar ",Independent multi-link spring suspension with stabilizer ,Ventilated discs ,Ventilated discs ,ABS (Anti-lock braking system) ,Steering rack and pinion ,Electric Steering ,225/50 R17 ,7.5J x 17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,BMW,3 Series,"3 Series Sedan (G20 LCI, facelift 2022)",320i (184 Hp) Steptronic ,"July, 2022 year ",Internal Combustion engine ,Sedan ,5 ,4 ,"6.4-7.2 l/100 km
							36.75 - 32.67 US mpg44.14 - 39.23 UK mpg15.63 - 13.89 km/l",145-162 g/km ,Petrol (Gasoline) ,7.4 sec ,7.4 sec ,7 sec ,"235 km/h
						146.02 mph",Euro 6d ,"8.2 kg/Hp, 121.5 Hp/tonne ","5.1 kg/Nm, 198 Nm/tonne ",,,,184 Hp @ 5000-6400 rpm. ,92.1 Hp/l ,"300 Nm @ 1350-4000 rpm.
						221.27 lb.-ft. @ 1350-4000 rpm.","Front, Longitudinal ",B48B20B ,"1998 cm3
121.93 cu. in.",4 ,Inline ,"82 mm
					3.23 in.","94.6 mm
					3.72 in.",11 ,4 ,Direct injection ,"Twin-power turbo, Intercooler ",VALVETRONIC ,"5.25 l
					5.55 US qt | 4.62 UK qt",Log in to see.,Particulate filter,"1515 kg
					3340 lbs.","2070 kg
					4563.57 lbs.","555 kg
					1223.57 lbs.","480 l
					16.95 cu. ft.","59 l
						15.59 US gal | 12.98 UK gal","75 kg
					165.35 lbs.","1600 kg
					3527.4 lbs.","750 kg
					1653.47 lbs.","75 kg
					165.35 lbs.","4713 mm
					185.55 in.","1827 mm
					71.93 in.","1440 mm
					56.69 in.","2851 mm
					112.24 in.","1573 mm
					61.93 in.","1568 mm
					61.73 in.","141 mm
					5.55 in.",0.25 ,"11.4 m
					37.4 ft.",The Internal combustion engine (ICE) drives the rear wheels of the vehicle. ,Rear wheel drive ,"8 gears, automatic transmission Steptronic ","Independent, type McPherson with coil spring and anti-roll bar ",Independent multi-link spring suspension with stabilizer ,Ventilated discs ,Ventilated discs ,ABS (Anti-lock braking system) ,Steering rack and pinion ,Electric Steering ,225/50 R17 ,7.5J x 17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
